"person","name","birthdate","birthplace","deathdate","deathplace"
"http://collection.americanart.si.edu/id/person-institution/2093","James M. Hart","1828","Kilmarnock","1901","New York"
"http://collection.americanart.si.edu/id/person-institution/2098","Jonathan Scott Hartley","1845","Albany","1912","New York"
"http://collection.americanart.si.edu/id/person-institution/2103","Cleo Hartwig","1911","Webberville","1988","New York"
"http://collection.americanart.si.edu/id/person-institution/2125","Margaret Foote Hawley","1880","Guilford","1963","New York"
"http://collection.americanart.si.edu/id/person-institution/2130","Palmer Hayden","1890","Widewater","1973","New York"
"http://collection.americanart.si.edu/id/person-institution/2136","Gerald Sinclair Hayward","1845","Port Hope","1926","New York"
"http://collection.americanart.si.edu/id/person-institution/2171","Robert Henri","1865","Cincinnati","1929","New York"
"http://collection.americanart.si.edu/id/person-institution/2211","Eugene Higgins","1874","Kansas City","1958","New York"
"http://collection.americanart.si.edu/id/person-institution/2219","Arthur Turnbull Hill","1868","New York","1929","New York"
"http://collection.americanart.si.edu/id/person-institution/2242","Joseph Hirsch","1910","Philadelphia","1981","New York"
"http://collection.americanart.si.edu/id/person-institution/2243","Stefan Hirsch","1899","Nuremberg","1964","New York"
"http://collection.americanart.si.edu/id/person-institution/1805","David Gilhooly","1943","Auburn","2013","Newport"
"http://collection.americanart.si.edu/id/person-institution/1805"," David James Gilhooly III","1943","Auburn","2013","Newport"
"http://collection.americanart.si.edu/id/person-institution/1441","Herzl Emanuel","1914","Scranton","2002","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1648","Laura Gardin Fraser","1889","Chicago","1966","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1648"," Laura Gardin","1889","Chicago","1966","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1648","Mrs. James E. Fraser","1889","Chicago","1966","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1648"," Laura Fraser","1889","Chicago","1966","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1648"," Laura G. Fraser","1889","Chicago","1966","Norwalk"
"http://collection.americanart.si.edu/id/person-institution/1004","John E. Costigan","1888","Providence","1972","Nyack"
"http://collection.americanart.si.edu/id/person-institution/1004"," John Edward Costigan","1888","Providence","1972","Nyack"
"http://collection.americanart.si.edu/id/person-institution/1004"," J. E. Costigan","1888","Providence","1972","Nyack"
"http://collection.americanart.si.edu/id/person-institution/1004"," John Costigan","1888","Providence","1972","Nyack"
"http://collection.americanart.si.edu/id/person-institution/1220","Margaret De Patta","1903","Tacoma","1964","Oakland"
"http://collection.americanart.si.edu/id/person-institution/1220"," Margaret Strong De Patta","1903","Tacoma","1964","Oakland"
"http://collection.americanart.si.edu/id/person-institution/1258","Edwin Dickinson","1891","Seneca Falls","1978","Orleans"
"http://collection.americanart.si.edu/id/person-institution/1258"," E. W. Dickinson","1891","Seneca Falls","1978","Orleans"
"http://collection.americanart.si.edu/id/person-institution/1258"," Edwin W. Dickinson","1891","Seneca Falls","1978","Orleans"
"http://collection.americanart.si.edu/id/person-institution/1457","Wharton Esherick","1887","Philadelphia","1970","Paoli"
"http://collection.americanart.si.edu/id/person-institution/1457"," Wharton Harris Esherick","1887","Philadelphia","1970","Paoli"
"http://collection.americanart.si.edu/id/person-institution/1186","Beauford Delaney","1901","Knoxville","1979","Paris"
"http://collection.americanart.si.edu/id/person-institution/1537","Ernest Fiene","1894","Elberfeld","1965","Paris"
"http://collection.americanart.si.edu/id/person-institution/2108","Herbert Haseltine","1877","Rome","1962","Paris"
"http://collection.americanart.si.edu/id/person-institution/2134","Stanley William Hayter","1901","London","1988","Paris"
"http://collection.americanart.si.edu/id/person-institution/2161","Jean Hélion","1904","Couterne","1987","Paris"
"http://collection.americanart.si.edu/id/person-institution/1856","Maurice Golubov","1905","Vetka","1987","Peekskill"
"http://collection.americanart.si.edu/id/person-institution/125","Anna Margaretta Archambault","1856","Philadelphia","1956","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/125"," A. Margaretta Archambault","1856","Philadelphia","1956","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1380","Thomas Eakins","1844","Philadelphia","1916","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1380"," Thomas Cowperthwait Eakins","1844","Philadelphia","1916","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1380"," Thomas Cowperthwaite Eakins","1844","Philadelphia","1916","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562","Anna Claypoole Peale","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562"," Anna C. Peale","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562"," Anna Claypole Peale","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562"," Anna Peale","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562","Mrs. A. C. Staughton","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562","Mrs. William Duncan","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18562","Mrs. William Staughton","1791","Philadelphia","1878","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1867","Sidney Goodman","1936","Philadelphia","2013","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1893","Charles Grafly","1862","Philadelphia","1929","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/1987","Christian Gullager","1759","Copenhagen","1826","Philadelphia"
"http://collection.americanart.si.edu/id/person-institution/18559","James Sanford Ellsworth","1802","Windsor","1874","Pittsburgh"
"http://collection.americanart.si.edu/id/person-institution/18559"," Ellsworth","1802","Windsor","1874","Pittsburgh"
"http://collection.americanart.si.edu/id/person-institution/18559"," J. S. Ellsworth","1802","Windsor","1874","Pittsburgh"
"http://collection.americanart.si.edu/id/person-institution/18559"," Ja. S. Ellsworth","1802","Windsor","1874","Pittsburgh"
"http://collection.americanart.si.edu/id/person-institution/18559"," James S. Ellsworth","1802","Windsor","1874","Pittsburgh"
"http://collection.americanart.si.edu/id/person-institution/1665","Suzy Frelinghuysen","1911","Newark","1988","Pittsfield"
"http://collection.americanart.si.edu/id/person-institution/1665"," Estelle Condit Frelinghuysen","1911","Newark","1988","Pittsfield"
"http://collection.americanart.si.edu/id/person-institution/1665"," Estelle Condit Frelinghuysen Morris","1911","Newark","1988","Pittsfield"
"http://collection.americanart.si.edu/id/person-institution/1665"," Suzy Morris","1911","Newark","1988","Pittsfield"
"http://collection.americanart.si.edu/id/person-institution/1665"," Susie Frelinghuysen","1911","Newark","1988","Pittsfield"
"http://collection.americanart.si.edu/id/person-institution/1534","Erastus Salisbury Field","1805","Leverett","1900","Plumtrees"
"http://collection.americanart.si.edu/id/person-institution/1293","John Wood Dodge","1807","New York","1893","Pomona"
"http://collection.americanart.si.edu/id/person-institution/1293"," John W. Dodge","1807","New York","1893","Pomona"
"http://collection.americanart.si.edu/id/person-institution/1233","Louis Paul Dessar","1867","Indianapolis","1952","Preston"
"http://collection.americanart.si.edu/id/person-institution/1928","Dorothea Greenbaum","1893","New York","1986","Princeton"
"http://collection.americanart.si.edu/id/person-institution/1156","Martha B. Willson Day","1885","Providence","1983","Providence"
"http://collection.americanart.si.edu/id/person-institution/1156"," Martha Buttrick Willson","1885","Providence","1983","Providence"
"http://collection.americanart.si.edu/id/person-institution/1156","Mrs. Howard D. Day","1885","Providence","1983","Providence"
"http://collection.americanart.si.edu/id/person-institution/18595","Augustus F. Rose","1873","Hebron","1946","Providence"
"http://collection.americanart.si.edu/id/person-institution/18595"," Augustus Foster ""Gus"" Rose","1873","Hebron","1946","Providence"
"http://collection.americanart.si.edu/id/person-institution/18595"," Augustus Foster Rose","1873","Hebron","1946","Providence"
"http://collection.americanart.si.edu/id/person-institution/226","Edward Mitchell Bannister","1828","St. Andrews","1901","Providence"
"http://collection.americanart.si.edu/id/person-institution/1332","Thomas Downing","1928","Suffolk","1985","Provincetown"
"http://collection.americanart.si.edu/id/person-institution/1332"," Tom Downing","1928","Suffolk","1985","Provincetown"
"http://collection.americanart.si.edu/id/person-institution/1617","Peter Oliver Foss","1865","Norway","1932","Randolph"
"http://collection.americanart.si.edu/id/person-institution/1617"," Peter Foss","1865","Norway","1932","Randolph"
"http://collection.americanart.si.edu/id/person-institution/1344","Werner Drewes","1899","Canig","1985","Reston"
"http://collection.americanart.si.edu/id/person-institution/1249","John William (""Uncle Jack"") Dey","1912","Phoebus","1978","Richmond"
"http://collection.americanart.si.edu/id/person-institution/1249"," John William Dey","1912","Phoebus","1978","Richmond"
"http://collection.americanart.si.edu/id/person-institution/1249"," Uncle Jack","1912","Phoebus","1978","Richmond"
"http://collection.americanart.si.edu/id/person-institution/1249"," Uncle Jack Dey","1912","Phoebus","1978","Richmond"
"http://collection.americanart.si.edu/id/person-institution/18618","Kent Ipsen","1933","Milwaukee","2012","Richmond"
"http://collection.americanart.si.edu/id/person-institution/2212","Frances Higgins","1912","Haddock","2004","Riverside"
"http://collection.americanart.si.edu/id/person-institution/2203","Aldro T. Hibbard","1886","Falmouth","1972","Rockport"
"http://collection.americanart.si.edu/id/person-institution/1543","Howard Finster","1916","Valley Head","2001","Rome"
"http://collection.americanart.si.edu/id/person-institution/1543"," William Howard Finster","1916","Valley Head","2001","Rome"
"http://collection.americanart.si.edu/id/person-institution/1543","Rev. Howard Finster","1916","Valley Head","2001","Rome"
"http://collection.americanart.si.edu/id/person-institution/18554","Joseph Castel","1798","Nice","1856","Rome"
"http://collection.americanart.si.edu/id/person-institution/2109","William Stanley Haseltine","1835","Philadelphia","1900","Rome"
"http://collection.americanart.si.edu/id/person-institution/2047","James Hamilton","1819","Entrien","1878","San Francisco"
"http://collection.americanart.si.edu/id/person-institution/18332","Marion Post Wolcott","1910","Montclair","1990","Santa Barbara"
"http://collection.americanart.si.edu/id/person-institution/18332"," Marion Post","1910","Montclair","1990","Santa Barbara"
"http://collection.americanart.si.edu/id/person-institution/1812","Laura Gilpin","1891","Colorado Springs","1979","Santa Fe"
"http://collection.americanart.si.edu/id/person-institution/215","Cyrus LeRoy Baldridge","1889","Alton","1977","Santa Fe"
"http://collection.americanart.si.edu/id/person-institution/2187","Velino Shije Herrera","1902","Zia Pueblo","1973","Santa Fe"
"http://collection.americanart.si.edu/id/person-institution/1506","Nicolai Fechin","1881","Kazan","1955","Santa Monica"
"http://collection.americanart.si.edu/id/person-institution/1506"," Nicolai Ivanovich Fechin","1881","Kazan","1955","Santa Monica"
"http://collection.americanart.si.edu/id/person-institution/1632","Sam Francis","1923","San Mateo","1994","Santa Monica"
"http://collection.americanart.si.edu/id/person-institution/1632"," Samuel Lewis Francis","1923","San Mateo","1994","Santa Monica"
"http://collection.americanart.si.edu/id/person-institution/221","Hugo Ballin","1879","New York","1956","Santa Monica"
"http://collection.americanart.si.edu/id/person-institution/18298","Rick Griffin","1944","Palos Verdes","1991","Santa Rosa"
"http://collection.americanart.si.edu/id/person-institution/18298"," Richard Griffin","1944","Palos Verdes","1991","Santa Rosa"
"http://collection.americanart.si.edu/id/person-institution/1152","Manierre Dawson","1887","Chicago","1969","Sarasota"
"http://collection.americanart.si.edu/id/person-institution/1421","John Whetten Ehninger","1827","New York","1889","Saratoga"
"http://collection.americanart.si.edu/id/person-institution/1421"," J. W. Ehninger","1827","New York","1889","Saratoga"
"http://collection.americanart.si.edu/id/person-institution/1421"," John Ehninger","1827","New York","1889","Saratoga"
"http://collection.americanart.si.edu/id/person-institution/1421"," John W. Ehninger","1827","New York","1889","Saratoga"
"http://collection.americanart.si.edu/id/person-institution/1421"," John Whetton Ehninger","1827","New York","1889","Saratoga"
"http://collection.americanart.si.edu/id/person-institution/1705","Frederick F. Fursman","1874","El Paso","1943","Saugatuck"
"http://collection.americanart.si.edu/id/person-institution/1705"," Frederick Frary Fursman","1874","El Paso","1943","Saugatuck"
"http://collection.americanart.si.edu/id/person-institution/1705"," Frederick Fursman","1874","El Paso","1943","Saugatuck"
"http://collection.americanart.si.edu/id/person-institution/1085","Philip C. Curtis","1907","Jackson","2000","Scottsdale"
"http://collection.americanart.si.edu/id/person-institution/1085"," Philip Campbell Curtis","1907","Jackson","2000","Scottsdale"
"http://collection.americanart.si.edu/id/person-institution/1085"," Phil Curtis","1907","Jackson","2000","Scottsdale"
"http://collection.americanart.si.edu/id/person-institution/1085"," Philip Curtis","1907","Jackson","2000","Scottsdale"
"http://collection.americanart.si.edu/id/person-institution/1098","Michael Dailey","1938","Des Moines","2009","Seattle"
"http://collection.americanart.si.edu/id/person-institution/1098"," Michael Dennis Dailey","1938","Des Moines","2009","Seattle"
"http://collection.americanart.si.edu/id/person-institution/1098"," Michael D. Dailey","1938","Des Moines","2009","Seattle"
"http://collection.americanart.si.edu/id/person-institution/1373","Mabel Dwight","1876","Cincinnati","1955","Sellersville"
"http://collection.americanart.si.edu/id/person-institution/1882","Arshile Gorky","1904","Khorkom Vari Haiyotz Dzore","1948","Sherman"
"http://collection.americanart.si.edu/id/person-institution/2231","Felrath Hines","1913","Indianapolis","1993","Silver Spring"
"http://collection.americanart.si.edu/id/person-institution/1935","Horatio Greenough","1805","Boston","1852","Somerville"
"http://collection.americanart.si.edu/id/person-institution/18555","John Cheney","1801","South Manchester","1885","South Manchester"
"http://collection.americanart.si.edu/id/person-institution/2105","Eli Harvey","1860","Ogden","1957","South San Gabriel"
"http://collection.americanart.si.edu/id/person-institution/1524","John Ferren","1905","Pendleton","1970","Southampton"
"http://collection.americanart.si.edu/id/person-institution/1998","Robert Gwathmey","1903","Richmond","1988","Southampton"
"http://collection.americanart.si.edu/id/person-institution/1973","Karl H. Gruppe","1893","Rochester","1982","Southold"
"http://collection.americanart.si.edu/id/person-institution/18374","Ruben Trejo","1937","St. Paul","2009","Spokane"
"http://collection.americanart.si.edu/id/person-institution/18374"," Rubén Trejo","1937","St. Paul","2009","Spokane"
"http://collection.americanart.si.edu/id/person-institution/1072","Earl Cunningham","1893","Edgecomb","1977","St. Augustine"
"http://collection.americanart.si.edu/id/person-institution/1072"," Erland Roland Cunningham","1893","Edgecomb","1977","St. Augustine"
"http://collection.americanart.si.edu/id/person-institution/1666","Daniel Chester French","1850","Exeter","1931","Stockbridge"
"http://collection.americanart.si.edu/id/person-institution/1666"," D. C. French","1850","Exeter","1931","Stockbridge"
"http://collection.americanart.si.edu/id/person-institution/1666"," Daniel C. French","1850","Exeter","1931","Stockbridge"
"http://collection.americanart.si.edu/id/person-institution/1923","Albert Green","1914","Elizabeth","1994","Summit"
"http://collection.americanart.si.edu/id/person-institution/1127","Andrew Dasburg","1887","Paris","1979","Taos"
"http://collection.americanart.si.edu/id/person-institution/1127"," Andrew Michael Dasburg","1887","Paris","1979","Taos"
"http://collection.americanart.si.edu/id/person-institution/1359","W. Herbert Dunton","1878","Augusta","1936","Taos"
"http://collection.americanart.si.edu/id/person-institution/1359"," William Herbert Dunton","1878","Augusta","1936","Taos"
"http://collection.americanart.si.edu/id/person-institution/1359"," Herbert Dunton","1878","Augusta","1936","Taos"
"http://collection.americanart.si.edu/id/person-institution/1359"," W. H. Dunton","1878","Augusta","1936","Taos"
"http://collection.americanart.si.edu/id/person-institution/1359"," William Herbert ""Buck"" Dunton","1878","Augusta","1936","Taos"
"http://collection.americanart.si.edu/id/person-institution/2169","E. Martin Hennings","1886","Penns Grove","1956","Taos"
"http://collection.americanart.si.edu/id/person-institution/1266","Hunt Diederich","1884","Hungary","1953","Tappan"
"http://collection.americanart.si.edu/id/person-institution/1266"," W. Hunt Diederich","1884","Hungary","1953","Tappan"
"http://collection.americanart.si.edu/id/person-institution/1266"," Wilhelm Hunt Diederich","1884","Hungary","1953","Tappan"
"http://collection.americanart.si.edu/id/person-institution/1266"," William Hunt Diederich","1884","Hungary","1953","Tappan"
"http://collection.americanart.si.edu/id/person-institution/129","Felipe Archuleta","1910","Santa Cruz","1991","Tesuque"
"http://collection.americanart.si.edu/id/person-institution/129"," Felipe B. Archuleta","1910","Santa Cruz","1991","Tesuque"
"http://collection.americanart.si.edu/id/person-institution/129"," Felipe Benito Archuleta","1910","Santa Cruz","1991","Tesuque"
"http://collection.americanart.si.edu/id/person-institution/129"," Filipe B. Archuleta","1910","Santa Cruz","1991","Tesuque"
"http://collection.americanart.si.edu/id/person-institution/2167","William Penhallow Henderson","1877","Medford","1943","Tesuque"
"http://collection.americanart.si.edu/id/person-institution/2096","Grace Hartigan","1922","Newark","2008","Timonium"
"http://collection.americanart.si.edu/id/person-institution/1139","Jo Davidson","1883","New York","1952","Tours"
"http://collection.americanart.si.edu/id/person-institution/2206","Thomas Hicks","1823","Newtown","1890","Trenton Falls"
"http://collection.americanart.si.edu/id/person-institution/1286","Maynard Dixon","1875","Fresno","1946","Tucson"
"http://collection.americanart.si.edu/id/person-institution/1286"," Lafayette Maynard Dixon","1875","Fresno","1946","Tucson"
"http://collection.americanart.si.edu/id/person-institution/1286"," L. Maynard Dixon","1875","Fresno","1946","Tucson"
"http://collection.americanart.si.edu/id/person-institution/196","Andrea Badami","1913","Omaha","2002","Tucson"
"http://collection.americanart.si.edu/id/person-institution/1784","Eugenie Gershoy","1901","Krivoi Rog","1986","United States"
"http://collection.americanart.si.edu/id/person-institution/1171","Roy De Forest","1930","North Platte","2007","Vallejo"
"http://collection.americanart.si.edu/id/person-institution/1171"," Roy Dean De Forest","1930","North Platte","2007","Vallejo"
"http://collection.americanart.si.edu/id/person-institution/1171"," Roy DeForest","1930","North Platte","2007","Vallejo"
"http://collection.americanart.si.edu/id/person-institution/1485","Claire Falkenstein","1908","Coos Bay","1997","Venice"
"http://collection.americanart.si.edu/id/person-institution/1485"," Claire Lindley","1908","Coos Bay","1997","Venice"
"http://collection.americanart.si.edu/id/person-institution/1485"," Clare von Falkenstein","1908","Coos Bay","1997","Venice"
"http://collection.americanart.si.edu/id/person-institution/1485","Mrs. C. Lindley McCarthy","1908","Coos Bay","1997","Venice"
"http://collection.americanart.si.edu/id/person-institution/101","Eliphalet Fraser Andrews","1835","Steubenville","1915","Washington"
"http://collection.americanart.si.edu/id/person-institution/101"," Eliphalet F. Andrews","1835","Steubenville","1915","Washington"
"http://collection.americanart.si.edu/id/person-institution/1147","Gene Davis","1920","Washington","1985","Washington"
"http://collection.americanart.si.edu/id/person-institution/1147"," Gene Bernard Davis","1920","Washington","1985","Washington"
"http://collection.americanart.si.edu/id/person-institution/1578","Lot Flannery","1836","Limerick","1922","Washington"
"http://collection.americanart.si.edu/id/person-institution/2052","James Hampton","1909","Elloree","1964","Washington"
"http://collection.americanart.si.edu/id/person-institution/1088","Charlotte Cushman","1906","Boston","1993","Wayne"
"http://collection.americanart.si.edu/id/person-institution/1088"," Charlotte Cushman Evans","1906","Boston","1993","Wayne"
"http://collection.americanart.si.edu/id/person-institution/1647","James Earle Fraser","1876","Winona","1953","Westport"
"http://collection.americanart.si.edu/id/person-institution/1647"," James E. Fraser","1876","Winona","1953","Westport"
"http://collection.americanart.si.edu/id/person-institution/1824","William Glackens","1870","Philadelphia","1938","Westport"
"http://collection.americanart.si.edu/id/person-institution/1824"," William James Glackens","1870","Philadelphia","1938","Westport"
"http://collection.americanart.si.edu/id/person-institution/1824"," William J. Glackens","1870","Philadelphia","1938","Westport"
"http://collection.americanart.si.edu/id/person-institution/1680","Leo Friedlander","1888","New York","1966","White Plains"
"http://collection.americanart.si.edu/id/person-institution/1564","Harrington Fitzgerald","1847","Philadelphia","1930","Williamstown"
"http://collection.americanart.si.edu/id/person-institution/1466","Minnie Evans","1892","Long Creek","1987","Wilmington"
"http://collection.americanart.si.edu/id/person-institution/1466"," Minnie Eva Jones","1892","Long Creek","1987","Wilmington"
"http://collection.americanart.si.edu/id/person-institution/1466"," Minnie Jones","1892","Long Creek","1987","Wilmington"
"http://collection.americanart.si.edu/id/person-institution/1027","Louise Cox","1865","San Francisco","1945","Windham"
"http://collection.americanart.si.edu/id/person-institution/1027"," Louise King","1865","San Francisco","1945","Windham"
"http://collection.americanart.si.edu/id/person-institution/1027"," Louise Howland Cox","1865","San Francisco","1945","Windham"
"http://collection.americanart.si.edu/id/person-institution/1027"," Louise Howland King Cox","1865","San Francisco","1945","Windham"
"http://collection.americanart.si.edu/id/person-institution/1027","Mrs. Louise Cox","1865","San Francisco","1945","Windham"
"http://collection.americanart.si.edu/id/person-institution/15742","Frances Felten","1905","Alsen","1976","Winsted"
"http://collection.americanart.si.edu/id/person-institution/1613","Karl Fortess","1907","Antwerp","1993","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/1613"," Karl Eugene Fortess","1907","Antwerp","1993","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/1613"," Karl E. Fortess","1907","Antwerp","1993","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/171","George Ault","1891","Cleveland","1948","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/171"," George Copeland Ault","1891","Cleveland","1948","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/171"," George C. Ault","1891","Cleveland","1948","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/1994","Philip Guston","1913","Montreal","1980","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/2089","Birge Harrison","1854","Philadelphia","1929","Woodstock"
"http://collection.americanart.si.edu/id/person-institution/18193","Torin Richards","1968","Ames",,
"http://collection.americanart.si.edu/id/person-institution/1583","Frank Fleming","1940","Bear Creek",,
"http://collection.americanart.si.edu/id/person-institution/18439","Max Krimmel","1948","Bellefonte",,
"http://collection.americanart.si.edu/id/person-institution/18481","Craig Nutt","1950","Belmond",,
"http://collection.americanart.si.edu/id/person-institution/18481"," Craig L. Nutt","1950","Belmond",,
"http://collection.americanart.si.edu/id/person-institution/18598","Daniel Jocz","1943","Beloit",,
"http://collection.americanart.si.edu/id/person-institution/1950","Robert Griffith","1950","Berwick",,
"http://collection.americanart.si.edu/id/person-institution/18658","Martin Douglas Kilmer","1945","Binghamton",,
"http://collection.americanart.si.edu/id/person-institution/18190","Felice Regan","1948","Boston",,
"http://collection.americanart.si.edu/id/person-institution/18190"," Felice Eugenie Regan","1948","Boston",,
"http://collection.americanart.si.edu/id/person-institution/18560","Charles Hénard","1757","Bourg-en-Bresse",,
"http://collection.americanart.si.edu/id/person-institution/18560"," Charles Henard","1757","Bourg-en-Bresse",,
"http://collection.americanart.si.edu/id/person-institution/18560"," Henard","1757","Bourg-en-Bresse",,
"http://collection.americanart.si.edu/id/person-institution/2083","William Harper","1944","Bucyrus",,
"http://collection.americanart.si.edu/id/person-institution/18441","Larry Fuegen","1952","Chamberlain",,
"http://collection.americanart.si.edu/id/person-institution/18608","Jon Wolfe","1955","Champaign",,
"http://collection.americanart.si.edu/id/person-institution/18641","Anthony Corradetti","1955","Chester",,
"http://collection.americanart.si.edu/id/person-institution/2009","Howard Hack","1932","Cheyenne",,
"http://collection.americanart.si.edu/id/person-institution/1273","Jim Dine","1935","Cincinnati",,
"http://collection.americanart.si.edu/id/person-institution/1273"," James Dine","1935","Cincinnati",,
"http://collection.americanart.si.edu/id/person-institution/18607","Paul Marioni","1941","Cincinnati",,
"http://collection.americanart.si.edu/id/person-institution/18607"," Paul Peter Marioni","1941","Cincinnati",,
"http://collection.americanart.si.edu/id/person-institution/18633","Delwyn Herbert","1942","Coaldale",,
"http://collection.americanart.si.edu/id/person-institution/2209","Wayne Higby","1943","Colorado Springs",,
"http://collection.americanart.si.edu/id/person-institution/17745","Linda Threadgill","1947","Corpus Christi",,
"http://collection.americanart.si.edu/id/person-institution/18547","Mary Van Cline","1954","Dallas",,
"http://collection.americanart.si.edu/id/person-institution/2195","Allen Hess","1950","Dayton",,
"http://collection.americanart.si.edu/id/person-institution/1651","Sondra Freckelton","1936","Dearborn",,
"http://collection.americanart.si.edu/id/person-institution/1651"," Sondra Beal","1936","Dearborn",,
"http://collection.americanart.si.edu/id/person-institution/131","Dick Arentz","1935","Detroit",,
"http://collection.americanart.si.edu/id/person-institution/18470","Jane Shellenbarger","1964","Detroit",,
"http://collection.americanart.si.edu/id/person-institution/18467","Sean Scully","1945","Dublin",,
"http://collection.americanart.si.edu/id/person-institution/17970","Maximilian Rainer Facklam","1960","Dusseldorf",,
"http://collection.americanart.si.edu/id/person-institution/17970"," Rainer Facklam","1960","Dusseldorf",,
"http://collection.americanart.si.edu/id/person-institution/18344","Diane Sheehan","1945","Elizabeth",,
"http://collection.americanart.si.edu/id/person-institution/18643","Keith E. Lo Bue","1964","Fairfax",,
"http://collection.americanart.si.edu/id/person-institution/1512","Albina Felski","1916","Fernie",,
"http://collection.americanart.si.edu/id/person-institution/1512"," Albina Kosiec","1916","Fernie",,
"http://collection.americanart.si.edu/id/person-institution/1512"," Albina Kosiec Felski","1916","Fernie",,
"http://collection.americanart.si.edu/id/person-institution/18587","Gary Genetti","1953","Fort Dodge",,
"http://collection.americanart.si.edu/id/person-institution/1732","Rupert García","1941","French Camp",,
"http://collection.americanart.si.edu/id/person-institution/1732"," Rupert Garcia","1941","French Camp",,
"http://collection.americanart.si.edu/id/person-institution/1732"," Marshall R. Garcia","1941","French Camp",,
"http://collection.americanart.si.edu/id/person-institution/18393","Félix López","1942","Gilman",,
"http://collection.americanart.si.edu/id/person-institution/18393"," Felix Arthur López","1942","Gilman",,
"http://collection.americanart.si.edu/id/person-institution/18393"," Felix Lopez","1942","Gilman",,
"http://collection.americanart.si.edu/id/person-institution/18393"," Felix A. Lopez","1942","Gilman",,
"http://collection.americanart.si.edu/id/person-institution/18340","Marion Hildebrandt","1925","Glendale",,
"http://collection.americanart.si.edu/id/person-institution/18612","Henner Schröder","1955","Gottingen",,
"http://collection.americanart.si.edu/id/person-institution/18612"," Henner Schroder","1955","Gottingen",,
"http://collection.americanart.si.edu/id/person-institution/1076","Charles C. Curran","1861","Hartford",,
"http://collection.americanart.si.edu/id/person-institution/1076"," Charles Courtney Curran","1861","Hartford",,
"http://collection.americanart.si.edu/id/person-institution/1076"," C. C. Curran","1861","Hartford",,
"http://collection.americanart.si.edu/id/person-institution/1101","William Daley","1925","Hastings-on-Hudson",,
"http://collection.americanart.si.edu/id/person-institution/1101","William Daley","1925","Hastings on Hudson",,
"http://collection.americanart.si.edu/id/person-institution/1101"," William P. Daley","1925","Hastings-on-Hudson",,
"http://collection.americanart.si.edu/id/person-institution/1101"," William P. Daley","1925","Hastings on Hudson",,
"http://collection.americanart.si.edu/id/person-institution/18281","Paul Sierra","1944","Havana",,
"http://collection.americanart.si.edu/id/person-institution/18387","Abelardo Morell","1948","Havana",,
"http://collection.americanart.si.edu/id/person-institution/18387"," Abe Morell","1948","Havana",,
"http://collection.americanart.si.edu/id/person-institution/18387"," Abelardo Morrell","1948","Havana",,
"http://collection.americanart.si.edu/id/person-institution/18265","Irene McDonald","1940","Hogansburg",,
"http://collection.americanart.si.edu/id/person-institution/18584","John Leighton","1948","Hollywood",,
"http://collection.americanart.si.edu/id/person-institution/18584"," John Raymond Leighton","1948","Hollywood",,
"http://collection.americanart.si.edu/id/person-institution/18445","Ronna Neuenschwander","1954","Hoxie",,
"http://collection.americanart.si.edu/id/person-institution/1025","Joe Cox","1915","Indianapolis",,
"http://collection.americanart.si.edu/id/person-institution/1025"," Joe H. Cox","1915","Indianapolis",,
"http://collection.americanart.si.edu/id/person-institution/1025"," Joseph Cox","1915","Indianapolis",,
"http://collection.americanart.si.edu/id/person-institution/1025"," Joseph H. Cox","1915","Indianapolis",,
"http://collection.americanart.si.edu/id/person-institution/1857","Rose Mary Gonnella-Butler","1957","Jersey City",,
"http://collection.americanart.si.edu/id/person-institution/1857"," Rose Gonnella","1957","Jersey City",,
"http://collection.americanart.si.edu/id/person-institution/1857"," Rose Mary Gonnella","1957","Jersey City",,
